"date","y","pty","p","wg","v_u","ur","vr","short","iesr","iesr_citi","ielr_citi","catchup"
1997-01-01,NA,NA,NA,NA,NA,7.205295,NA,NA,NA,NA,NA,NA
1997-04-01,4.49214012242152,NA,3.47226893613737,NA,NA,7.290441,NA,NA,NA,NA,NA,NA
1997-07-01,3.41305850192128,NA,1.53424064329855,NA,NA,6.694883,NA,NA,NA,NA,NA,NA
1997-10-01,5.99483412832171,NA,2.11016369980719,NA,NA,6.400777,NA,-0.9,NA,NA,NA,NA
1998-01-01,2.93075673269385,NA,-0.876778945558598,NA,NA,6.311211,NA,-0.07844,NA,NA,NA,NA
1998-04-01,2.43671403600985,NA,4.53691064157375,NA,NA,6.300875,NA,-0.748395,NA,NA,NA,NA
1998-07-01,1.3266248033446,NA,-0.235733235385993,NA,NA,6.217196,NA,-0.893451,NA,NA,NA,NA
1998-10-01,2.64962225397056,NA,2.22829325642344,NA,NA,6.218025,NA,-0.584721,NA,NA,NA,NA
1999-01-01,2.65200409520361,2.35337554289932,-0.364932950268937,NA,NA,6.154285,NA,-0.26175,NA,NA,NA,NA
1999-04-01,1.92517390437814,2.28052556260265,3.92966885547956,NA,NA,5.974863,NA,-0.361123,NA,NA,NA,NA
1999-07-01,6.46512595185413,2.58455466195899,-0.914091950073725,NA,NA,5.83773,NA,-0.382395,NA,NA,NA,NA
1999-10-01,5.71875426211506,2.48617176762154,1.87946608643053,NA,NA,5.866417,NA,-0.197566,1.5,NA,NA,NA
2000-01-01,4.93152156598029,3.64482924837124,-1.74637736400989,NA,NA,5.694816,NA,-0.283132,2.3,NA,NA,NA
2000-04-01,2.94499657781699,3.07306732343791,3.28907900077482,1.38169394723491,NA,5.335225,NA,0.046571,2.4,NA,NA,NA
2000-07-01,2.54910919654776,3.37628232181344,-0.188844864246107,5.47953774326473,NA,5.398516,NA,0.053517,2.2,NA,NA,NA
2000-10-01,2.44123593389247,2.67310387650874,2.44623361666356,5.40548766668927,NA,5.162518,NA,-0.898861,2.3,NA,NA,-0.549977402704403
2001-01-01,3.71674241320363,3.2747958546949,-2.11627168105757,4.00671129738832,NA,5.010367,NA,-0.560524,2.1,NA,NA,-1.44245098196632
2001-04-01,1.6919244673943,2.9674962192217,5.87337727240467,3.96697466293858,NA,5.046282,NA,-0.663516,2.1,NA,NA,-0.896376414058861
2001-07-01,2.07978455517406,2.69673196174733,-0.110160252258851,5.22883262694087,0.452820098431763,5.090188,2.30493943119618,-0.635597,2.2,NA,NA,-0.676705261062048
2001-10-01,1.19988851834307,2.24961953969909,0.417004241657182,3.87725168226396,0.42003197579602,5.183715,2.17732605341347,-1.116222,1.9,NA,NA,-1.28401260481364
2002-01-01,1.1153953668682,1.19766205112466,-0.0360870781438649,5.11189065855966,0.431607136536779,5.181791,2.23649797564205,-0.408273,2.2,NA,NA,-0.563966454085217
2002-04-01,1.92093178254424,1.79230658865679,3.45854287134273,3.79149758181754,0.422727635083413,5.187281,2.19280702964312,-0.598227,2.3,NA,NA,-1.1676750543507
2002-07-01,2.85272844589883,1.54774262339941,0.261094280397245,1.25588800186698,0.416544667745877,5.227359,2.17742851784342,-1.110269,2.1,NA,NA,-1.17486142118668
2002-10-01,3.06893440826599,1.90046629834919,2.36886948171069,0,0.428034834172056,5.008082,2.14363354839006,-0.664322,2.2,NA,NA,-0.3868951111733
2003-01-01,2.9081679229904,1.64720778596772,-0.197315359713102,6.22096520299387,0.406908791871078,5.116309,2.08187111402912,-0.304583,2.5,NA,NA,-0.72720218156561
2003-04-01,3.49983304975581,2.17297847408933,2.61053688753421,2.46154622975148,0.401649283430705,5.06413,2.03400418569994,-0.102095,2.2,NA,NA,-1.03920367751774
2003-07-01,3.65553821932423,2.27444459450501,0.686574247743721,2.44649080697457,0.431815386182152,4.950209,2.13757641101737,0.068064,2.2,NA,NA,-0.732833685681121
2003-10-01,3.34909008711435,2.71900415096109,2.14039216192923,3.64190679716749,0.447855518667824,4.830923,2.16355552580932,-0.366051,2.6,NA,NA,-0.889953015626486
2004-01-01,1.59255174102384,2.14277143248087,-0.38080951214674,2.40964584135241,0.461166960263471,4.809536,2.21799909739774,-0.010257,2.4,NA,NA,-1.2358265537349
2004-04-01,2.27798896650171,2.12553543422942,3.09386947174808,4.77617614876706,0.481025556478645,4.76149,2.2903983769175,0.418016,2.4,NA,NA,-0.814993407681428
2004-07-01,1.46692032811018,2.12309576172531,0.155024921325264,3.54507490313836,0.491700796187819,4.664609,2.29359195920487,-0.007168,2.3,NA,NA,-0.947880739286043
2004-10-01,1.91069220004181,1.54917727599835,2.87533204788168,4.67841590527627,0.487625926061273,4.727189,2.30509991379166,0.113331,2.3,NA,NA,-1.16414576779793
2005-01-01,2.94054963919024,1.53858293333768,0.730716862643277,3.47324902938446,0.471219138941658,4.704338,2.21677410165052,-0.261592,2.2,NA,NA,-0.686264174100424
2005-04-01,3.33121314231875,1.69507758378407,3.99269181051523,3.44334981463987,0.467265839696391,4.701785,2.1969835160969,-0.922463,2,NA,NA,-0.461558589408637
2005-07-01,3.32091672344887,1.40537638452205,1.90412827583124,4.5455034601261,0.426342368831267,4.931824,2.1026455268189,0.081664,2.2,NA,NA,0.0757172492178571
2005-10-01,3.74116587340296,1.33341235410809,1.82062598107073,2.25352708730249,0.418364962586003,5.086849,2.12815939156565,-0.68688,2.2,NA,NA,-0.187959267484881
2006-01-01,1.97983834679576,1.83660046343652,-0.0694151982930435,5.57889099234004,0.387362236366265,5.316002,2.05921842324754,-0.387506,2.7,2.5,3.7,-0.287992282718961
